key,date,cruise_id,station,event_n,scan,salinity,temperature,pressure,sea_water_electrical_conductivity,CDOM,dissolved_oxygen,oxygen_saturation,chlorophyll_concentration,chlorophyll_fluorescence,photosynthetically_available_radiation,beam_attenuation,beam_transmission,depth,sea_water_sigma_t,sound_velocity,altimeter
2006-01-18_WS0603_58,2006-01-18,WS0603,58,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20
2006-01-18_WS0603_59,2006-01-18,WS0603,59,14,14,13,14,14,13,0,12,12,0,14,14,14,14,14,13,13,14
2006-01-18_WS0603_60,2006-01-18,WS0603,60,10,10,9,10,10,9,0,8,8,0,10,10,10,10,10,9,9,10
2006-01-18_WS0603_61,2006-01-18,WS0603,61,7,7,6,7,7,6,0,5,5,0,7,7,7,7,7,6,6,7
2006-01-18_WS0603_62,2006-01-18,WS0603,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5
2006-01-18_WS0603_63,2006-01-18,WS0603,63,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_64,2006-01-18,WS0603,64,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3
2006-01-18_WS0603_65,2006-01-18,WS0603,65,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-18_WS0603_66,2006-01-18,WS0603,66,3,3,2,3,3,2,0,1,1,0,3,3,3,3,3,2,2,3
2006-01-18_WS0603_67,2006-01-18,WS0603,67,5,5,4,5,5,4,0,3,3,0,5,5,5,5,5,4,4,5
2006-01-18_WS0603_68,2006-01-18,WS0603,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_69,2006-01-18,WS0603,69,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_70,2006-01-18,WS0603,70,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-18_WS0603_71,2006-01-18,WS0603,71,2,2,2,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2
2006-01-19_WS0603_39,2006-01-19,WS0603,39,3,3,2,3,3,2,0,2,2,0,3,0,3,3,3,2,2,3
2006-01-19_WS0603_40,2006-01-19,WS0603,40,6,6,5,6,6,5,0,5,5,0,6,3,6,6,6,5,5,6
2006-01-19_WS0603_41,2006-01-19,WS0603,41,8,8,8,8,8,8,0,7,7,0,8,5,8,8,8,8,8,8
2006-01-19_WS0603_44,2006-01-19,WS0603,44,16,16,16,16,16,16,0,15,15,0,16,1,16,16,16,16,16,16
2006-01-19_WS0603_45,2006-01-19,WS0603,45,9,9,9,9,9,9,0,8,8,0,9,0,9,9,9,9,9,9
2006-01-19_WS0603_46,2006-01-19,WS0603,46,9,9,9,9,9,9,0,8,8,0,9,2,9,9,9,9,9,9
2006-01-19_WS0603_47,2006-01-19,WS0603,47,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6
2006-01-19_WS0603_48,2006-01-19,WS0603,48,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-01-19_WS0603_49,2006-01-19,WS0603,49,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-01-19_WS0603_50,2006-01-19,WS0603,50,7,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7
2006-01-19_WS0603_51,2006-01-19,WS0603,51,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6
2006-01-19_WS0603_52,2006-01-19,WS0603,52,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-19_WS0603_53,2006-01-19,WS0603,53,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
