new_key,date,cruise_id,station,event_n,DIC_umol_kg,TA_umol_kg,pH_measured,pH_calculated,pCO2_uatm,Aragonite_Sat_W,Salinity_Bottle,Temperature_C,Pressure_db
HG23138#2023-05-22 13:35:00#16,2023-05-22 13:35:00,HG23138,16,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 13:56:00#17,2023-05-22 13:56:00,HG23138,17,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 14:16:00#18,2023-05-22 14:16:00,HG23138,18,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 15:39:00#15.5,2023-05-22 15:39:00,HG23138,15.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 16:01:00#15,2023-05-22 16:01:00,HG23138,15,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 16:15:00#14,2023-05-22 16:15:00,HG23138,14,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 16:27:00#13,2023-05-22 16:27:00,HG23138,13,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 17:39:00#10,2023-05-22 17:39:00,HG23138,10,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 18:01:00#11,2023-05-22 18:01:00,HG23138,11,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 18:20:00#12,2023-05-22 18:20:00,HG23138,12,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 19:29:00#9.5,2023-05-22 19:29:00,HG23138,9.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 20:19:00#9,2023-05-22 20:19:00,HG23138,9,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 22:18:00#8,2023-05-22 22:18:00,HG23138,8,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-22 22:34:00#7,2023-05-22 22:34:00,HG23138,7,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 00:05:00#UK_IN,2023-05-23 00:05:00,HG23138,UK_IN,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 00:18:00#UK_MID,2023-05-23 00:18:00,HG23138,UK_MID,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 00:29:00#UK_OFF,2023-05-23 00:29:00,HG23138,UK_OFF,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 02:14:00#6.5,2023-05-23 02:14:00,HG23138,6.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 02:25:00#6,2023-05-23 02:25:00,HG23138,6,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 02:36:00#5.5,2023-05-23 02:36:00,HG23138,5.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 03:33:00#MR,2023-05-23 03:33:00,HG23138,MR,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 05:11:00#5,2023-05-23 05:11:00,HG23138,5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 05:23:00#4,2023-05-23 05:23:00,HG23138,4,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 07:24:00#EK_IN,2023-05-23 07:24:00,HG23138,EK_IN,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 07:43:00#EK_MID,2023-05-23 07:43:00,HG23138,EK_MID,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 07:59:00#EK_OFF,2023-05-23 07:59:00,HG23138,EK_OFF,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 10:15:00#3,2023-05-23 10:15:00,HG23138,3,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 10:29:00#2,2023-05-23 10:29:00,HG23138,2,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 10:45:00#1,2023-05-23 10:45:00,HG23138,1,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 22:34:00#19,2023-05-23 22:34:00,HG23138,19,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 22:49:00#20,2023-05-23 22:49:00,HG23138,20,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-23 23:14:00#21LK,2023-05-23 23:14:00,HG23138,21LK,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 00:01:00#21.5,2023-05-24 00:01:00,HG23138,21.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 02:08:00#WS,2023-05-24 02:08:00,HG23138,WS,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 03:22:00#22.5,2023-05-24 03:22:00,HG23138,22.5,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 03:46:00#22,2023-05-24 03:46:00,HG23138,22,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 03:58:00#23,2023-05-24 03:58:00,HG23138,23,1,1,1,1,1,1,1,1,1,1
HG23138#2023-05-24 04:18:00#24,2023-05-24 04:18:00,HG23138,24,1,1,1,1,1,1,1,1,1,1
HG23314#2023-11-14 13:56:00#6.5,2023-11-14 13:56:00,HG23314,6.5,1,1,1,1,1,1,1,1,1,1
HG23314#2023-11-14 14:08:00#6,2023-11-14 14:08:00,HG23314,6,1,1,1,1,1,1,1,1,1,1
HG23314#2023-11-14 14:24:00#5.5,2023-11-14 14:24:00,HG23314,5.5,1,1,1,1,1,1,1,1,1,1
HG23314#2023-11-14 18:27:00#3,2023-11-14 18:27:00,HG23314,3,1,1,1,1,1,1,1,1,1,1
HG23314#2023-11-14 18:37:00#2,2023-11-14 18:37:00,HG23314,2,1,1,1,1,1,1,1,1,1,1
