cruise_id,station,lat_dec,lon_dec,station_type
WS14335,1,25.645,80.1252,F
WS15103,1,25.6398,80.122,F
WS15148,1,25.6447,80.1244,F
WS15208,1,25.6448,80.1247,F
WS15264,1,25.6445,80.1271,F
WS15320,1,25.6443,80.1261,F
WS16004,1,25.645,80.1267,F
WS16074,1,25.6452,80.1271,F
WS16130,1,25.6441,80.1204,F
WS16207,1,25.6448,80.1246,F
WS16263,1,25.6438,80.1187,F
WS16319,1,25.6452,80.1271,F
WS17030,1,25.6452,80.1271,F
WS17086,1,25.6444,80.1225,F
WS17170,1,25.6448,80.1267,F
WS17212,1,25.6464,80.1261,F
WS17282,1,25.6446,80.0442,C
WS18008,1,25.6449,80.1278,F
SV18067,1,25.6452,80.1269,F
WS18120,1,25.6333,80.126,F
SV18173,1,25.6463,80.083,F
WS18218,1,25.6453,80.1269,F
WS18285,1,25.6447,80.1253,F
WS18351,1,25.6446,80.125,F
WS19119,1,25.644,80.1216,F
WS19210,1,25.645,80.1267,F
WS19266,1,25.644,80.1205,F
WS19322,1,25.6447,80.1255,F
WS20006,1,25.645,80.1262,F
WS20231,1,25.644,80.1262,C
WS20279,1,25.6452,80.1277,F
WS20342,1,25.645,80.1272,F
WS21032,1,25.645,80.1288,F
WS21093,1,25.645,80.1275,F
WS21151,1,25.6454,80.1289,F
WS21212,1,25.6452,80.1287,F
WS21278,1,25.6444,80.1224,F
WS21338,1,25.6451,80.1268,F
WS22022,1,25.6451,80.1276,F
WS22072,1,25.6467,80.1312,F
WS22141,1,25.6451,80.128,F
WB22215,1,25.6447,80.1234,F
WS22281,1,25.6447,80.1266,F
WS22337,1,25.6441,80.1245,F
WS23011,1,25.645,80.1252,F
WS23061,1,25.6451,80.1274,F
HG23138,1,25.6434,80.1263,F
WS23203,1,25.6447,80.126,F
WS23259,1,25.6449,80.1275,F
HG23314,1,25.6449,80.1269,F
HG24062,1,25.6442,80.126,F
WS24139,1,25.6448,80.1286,F
WS24205,1,25.6452,80.1285,F
WS24258,1,25.645,80.1287,F
WS24314,1,25.6444,80.1266,F
WS14335,10,24.7753,80.8613,C
WS15103,10,24.783,80.8633,C
WS15148,10,24.7848,80.8672,C
WS15208,10,24.7887,80.8618,C
WS15264,10,24.7883,80.8609,C
WS15320,10,24.7865,80.861,C
WS16004,10,24.7878,80.8604,C
WS16074,10,24.7886,80.8601,C
WS16130,10,24.7873,80.8598,C
WS16207,10,24.7826,80.8607,C
WS16263,10,24.7876,80.8599,C
WS16319,10,24.784300000000002,80.8613,C
WS17030,10,24.788,80.8611,C
WS17086,10,24.7871,80.862,C
WS17170,10,24.788,80.86,C
WS17212,10,24.788,80.86,C
WS17282,10,24.7882,80.8599,C
WS18008,10,24.7888,80.8607,C
WS18120,10,24.7846,80.8638,C
SV18173,10,24.7831,80.8626,C
WS18218,10,24.7808,80.8611,C
WS18351,10,24.7818,80.8625,C
WS19119,10,24.7848,80.8638,C
WS19210,10,24.7797,80.8649,C
WS19266,10,24.779,80.8667,C
WS19322,10,24.7892,80.8623,C
WS20006,10,24.7895,80.8617,C
WS20231,10,24.788,80.8618,C
WS20279,10,24.789,80.8598,C
WS20342,10,24.7877,80.8635,C
WS21032,10,24.7872,80.8597,F
WS21093,10,24.7877,80.8617,C
WS21151,10,24.7883,80.8608,C
WS21212,10,24.7891,80.8602,C
WS21278,10,24.788,80.8544,C
WS21278,10,24.7881,80.855,C
WS21338,10,24.7885,80.8607,C
WS22022,10,24.7887,80.8602,C
WS22072,10,24.7891,80.86,C
WS22141,10,24.7881,80.8624,C
WS22281,10,24.791,80.8629,C
WS22337,10,24.7875,80.8613,C
WS23011,10,24.7873,80.8609,C
WS23061,10,24.7883,80.8644,C
HG23138,10,24.788,80.8599,C
WS23203,10,24.7873,80.8634,C
WS23259,10,24.7889,80.8638,C
HG23314,10,24.7866,80.8607,C
HG24013,10,24.7888,80.8608,C
HG24062,10,24.7863,80.8623,C
WS24139,10,24.7891,80.8644,C
WS24205,10,24.7862,80.8637,C
WS24258,10,24.7834,80.8607,C
WS24314,10,24.7854,80.8638,C
WS14335,11,24.7539,80.8477,F
WS15103,11,24.7533,80.8459,F
WS15148,11,24.7535,80.8464,F
WS15208,11,24.7535,80.8466,F
WS15264,11,24.7528,80.8466,F
WS15320,11,24.7533,80.8471,F
WS16004,11,24.7531,80.8464,F
WS16074,11,24.7554,80.849,F
WS16130,11,24.7524,80.8465,F
WS16207,11,24.7575,80.8498,F
WS16263,11,24.7537,80.8469,F
WS16319,11,24.7533,80.8468,F
WS17030,11,24.753,80.8415,F
WS17086,11,24.7548,80.8482,F
WS17170,11,24.7521,80.846,F
WS17212,11,24.7527,80.8464,F
WS17282,11,24.7535,80.8474,C
WS18008,11,24.753,80.8472,F
SV18067,11,24.7538,80.8481,F
WS18120,11,24.7544,80.847,F
SV18173,11,24.7552,80.8474,F
WS18218,11,24.753,80.8478,F
WS18351,11,24.7522,80.8462,F
WS19119,11,24.7522,80.8454,F
WS19210,11,24.754,80.8474,F
WS19266,11,24.7493,80.8483,F
WS19322,11,24.7543,80.8465,F
WS20006,11,24.7537,80.8468,F
WS20231,11,24.7527,80.847,F
WS20279,11,24.7515,80.846,F
WS20342,11,24.7538,80.8462,F
WS21032,11,24.7533,80.8445,F
WS21093,11,24.7535,80.847,F
WS21151,11,24.7585,80.8486,F
WS21212,11,24.7536,80.8478,F
WS21278,11,24.7469,80.8458,F
WS21338,11,24.7536,80.8472,F
WS22022,11,24.7535,80.8467,F
WS22072,11,24.753,80.847,F
WS22141,11,24.7526,80.8464,F
WB22215,11,24.7511,80.8409,F
WS22281,11,24.7536,80.847,F
WS22337,11,24.7573,80.8488,F
WS23011,11,24.7523,80.8464,F
WS23061,11,24.7526,80.8466,F
HG23138,11,24.7547,80.8469,F
WS23203,11,24.7538,80.8467,F
WS23259,11,24.7526,80.8472,F
HG23314,11,24.754,80.8478,F
HG24013,11,24.7531,80.8468,F
HG24062,11,24.7481,80.8452,F
WS24139,11,24.749,80.8449,F
WS24205,11,24.7519,80.8463,F
WS24258,11,24.7516,80.8462,F
WS24314,11,24.7533,80.8464,F
WS14335,12,24.7132,80.8357,C
WS15103,12,24.7115,80.8301,C
WS15148,12,24.7129,80.8332,C
WS15208,12,24.7155,80.8334,C
WS15264,12,24.7131,80.8326,C
WS15264,12,24.7297,80.8326,C
WS15264,12,24.7464,80.8326,C
WS15320,12,24.712,80.8327,C
WS16004,12,24.713,80.8314,C
WS16074,12,24.7134,80.8316,C
WS16130,12,24.7132,80.8321,C
WS16207,12,24.7133,80.8316,C
WS16263,12,24.7134,80.8314,C
WS16319,12,24.7124,80.8314,C
WS17030,12,24.7126,80.8311,C
WS17086,12,24.7139,80.8316,C
WS17170,12,24.713,80.8288,F
WS17212,12,24.7132,80.8308,C
WS17282,12,24.713,80.8294,C
WS18008,12,24.7138,80.8334,C
SV18067,12,24.7113,80.8324,C
WS18120,12,24.7144,80.8225,C
SV18173,12,24.7117,80.8313,C
WS18218,12,24.7117,80.8293,C
WS18351,12,24.7129,80.8312,C
WS19119,12,24.7123,80.8333,C
WS19210,12,24.713,80.8326,C
WS19266,12,24.7118,80.8345,C
WS19322,12,24.7128,80.836,C
WS20006,12,24.7128,80.8323,C
WS20231,12,24.7128,80.833,C
WS20279,12,24.7128,80.8305,C
WS20342,12,24.7153,80.8287,C
WS21032,12,24.7147,80.8323,C
WS21093,12,24.713,80.8305,C
WS21151,12,24.7139,80.8345,C
WS21212,12,24.7157,80.8301,C
WS21278,12,24.7129,80.834,C
WS21278,12,24.7129,80.8347,C
WS21338,12,24.7124,80.832,C
WS22022,12,24.7127,80.8328,C
WS22072,12,24.7132,80.8321,C
WS22141,12,24.7135,80.8346,C
WB22215,12,24.7133,80.8295,C
WS22281,12,24.7134,80.8304,C
WS22337,12,24.7125,80.832,C
WS23011,12,24.7138,80.8314,C
WS23061,12,24.7132,80.8306,C
HG23138,12,24.713,80.8312,C
WS23203,12,24.7129,80.8322,C
WS23259,12,24.7131,80.8313,C
HG23314,12,24.7172,80.8348,C
HG24013,12,24.7137,80.831,C
HG24062,12,24.7136,80.832,C
WS24139,12,24.7135,80.8298,C
WS24205,12,24.7128,80.8352,C
WS24258,12,24.7132,80.8328,C
WS24314,12,24.7133,80.8312,C
WS14335,13,24.7008,81.03,F
WS15103,13,24.7016,81.0304,F
WS15148,13,24.7014,81.0299,F
WS15208,13,24.7017,81.0284,F
WS15264,13,24.702,81.0304,F
WS15320,13,24.7025,81.0302,F
WS16004,13,24.7011,81.0296,F
WS16074,13,24.7019,81.0302,F
WS16130,13,24.7017,81.0296,F
WS16207,13,24.7014,81.0304,F
WS16263,13,24.7014,81.0298,F
WS16319,13,24.7005,81.0306,F
WS17030,13,24.7012,81.0298,F
WS17086,13,24.697,81.031,F
WS17170,13,24.6838,81.0271,F
WS17212,13,24.701,81.0303,F
WS17282,13,24.702,81.0302,C
WS18008,13,24.7012,81.03,F
WS18120,13,24.7017,81.0322,F
SV18173,13,24.7014,81.03,F
WS18218,13,24.7012,81.0311,F
WS18351,13,24.7011,81.0291,F
WS19119,13,24.7012,81.029,F
WS19210,13,24.6988,81.0312,F
WS19266,13,24.7005,81.0282,F
