new_key,date,cruise_id,station,temp,sal,o2_ctd,nh4,no2,no3,no3_no2,po4,si,avg_chl_a,avg_phaeo
2014-12-01_WS14335_1,2014-12-01,WS14335,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_2,2014-12-01,WS14335,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_3,2014-12-01,WS14335,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_4,2014-12-01,WS14335,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_5,2014-12-01,WS14335,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_7,2014-12-01,WS14335,7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_EKIN,2014-12-01,WS14335,EKIN,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_EKMID,2014-12-01,WS14335,EKMID,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_UKIN,2014-12-01,WS14335,UKIN,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_UKMID,2014-12-01,WS14335,UKMID,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-01_WS14335_UKOFF,2014-12-01,WS14335,UKOFF,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-02_WS14335_10,2014-12-02,WS14335,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-02_WS14335_11,2014-12-02,WS14335,11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
